Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-26.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-29.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-01.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-02.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-03.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-04.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-05.tsv...
Name	Date	Min_Date	Max_Date	WallClock	Fitness	Count	Error_Count	Total_Duration	Total_Mbps	Total_ErrorDuration	Avg_Duration	Avg_Mbps	Avg_Errors	Avg_ErrorDuration	Min_Duration	Max_Duration	Min_Mbps	Max_Mbps
2020-06-05	2020-06-05T16:56:00.0000000	2020-06-05T16:56:00.4824411-07:00	2020-06-05T16:56:59.1641327-07:00	58681.69	1.0098891	67	0	59262	124.13001	0	884.50745	1.8526868	0	0	463	1449	1.06	3.31
2020-06-05	2020-06-05T16:57:00.0000000	2020-06-05T16:57:00.0420178-07:00	2020-06-05T16:57:59.8336537-07:00	59791.637	1.0139043	75	0	60623	155.02002	0	808.30664	2.0669336	0	0	416	1445	1.06	3.68
2020-06-05	2020-06-05T16:58:00.0000000	2020-06-05T16:58:00.3992837-07:00	2020-06-05T16:58:59.3905081-07:00	58991.223	1.0088619	71	0	59514	141.54999	0	838.22534	1.9936618	0	0	388	1435	1.07	3.94
2020-06-05	2020-06-05T16:59:00.0000000	2020-06-05T16:59:00.1273574-07:00	2020-06-05T16:59:59.4689983-07:00	59341.64	0.84323585	61	2	50039	124.19002	10004	820.31146	2.035902	0.031746034	5002	402	1457	1.05	3.8
2020-06-05	2020-06-05T17:00:00.0000000	2020-06-05T17:00:00.3373476-07:00	2020-06-05T17:00:59.2043335-07:00	58866.984	0.9289078	66	1	54682	135.88	5012	828.51514	2.058788	0.014925373	5012	415	1535	1	3.68
2020-06-05	2020-06-05T17:01:00.0000000	2020-06-05T17:01:00.0836886-07:00	2020-06-05T17:01:59.5601312-07:00	59476.44	1.0140654	74	0	60313	154.46999	0	815.0405	2.0874321	0	0	455	1627	0.94	3.36
2020-06-05	2020-06-05T17:02:00.0000000	2020-06-05T17:02:00.4212052-07:00	2020-06-05T17:02:59.6745277-07:00	59253.324	0.92951745	62	1	55077	114.5	5000	888.3387	1.8467742	0.015873017	5000	406	1522	1.01	3.77
2020-06-05	2020-06-05T17:03:00.0000000	2020-06-05T17:03:00.5735301-07:00	2020-06-05T17:03:59.6275206-07:00	59053.992	0.8451927	61	2	49912	123.29999	10008	818.2295	2.0213113	0.031746034	5004	461	1406	1.09	3.32
2020-06-05	2020-06-05T17:04:00.0000000	2020-06-05T17:04:00.4855356-07:00	2020-06-05T17:04:59.8538358-07:00	59368.3	0.84528273	59	2	50183	116.94	10005	850.5593	1.982034	0.032786883	5002.5	440	1489	1.03	3.48
2020-06-05	2020-06-05T17:05:00.0000000	2020-06-05T17:05:00.2806559-07:00	2020-06-05T17:05:59.0051241-07:00	58724.47	0.66558284	45	4	39086	86.35999	20033	868.57776	1.919111	0.08163265	5008.25	426	1371	1.12	3.59
2020-06-05	2020-06-05T17:06:00.0000000	2020-06-05T17:06:00.1433381-07:00	2020-06-05T17:06:58.6730802-07:00	58529.742	1.0186616	74	0	59622	151.87	0	805.7027	2.052297	0	0	350	1571	0.97	4.38
2020-06-05	2020-06-05T17:07:00.0000000	2020-06-05T17:07:03.6630336-07:00	2020-06-05T17:07:59.9559110-07:00	56292.88	0.9992383	67	1	56250	130.87	4989	839.55225	1.9532835	0.014705882	4989	457	1357	1.13	3.35
2020-06-05	2020-06-05T17:08:00.0000000	2020-06-05T17:08:00.8764185-07:00	2020-06-05T17:08:59.5046995-07:00	58628.28	1.0149198	70	0	59503	138.90004	0	850.04285	1.9842863	0	0	413	1522	1.01	3.7
2020-06-05	2020-06-05T17:09:00.0000000	2020-06-05T17:09:00.6472886-07:00	2020-06-05T17:09:59.9034899-07:00	59256.203	0.9339613	67	1	55343	133.70998	5010	826.01495	1.9956713	0.014705882	5010	474	1401	1.09	3.23
2020-06-05	2020-06-05T17:10:00.0000000	2020-06-05T17:10:00.4563775-07:00	2020-06-05T17:10:59.2496272-07:00	58793.25	1.0087042	66	0	59305	119.670006	0	898.5606	1.8131819	0	0	491	1569	0.98	3.12
2020-06-05	2020-06-05T17:11:00.0000000	2020-06-05T17:11:00.1071554-07:00	2020-06-05T17:11:59.5327368-07:00	59425.582	1.0137049	68	0	60240	126.29	0	885.8823	1.8572059	0	0	443	1411	1.09	3.45
2020-06-05	2020-06-05T17:12:00.0000000	2020-06-05T17:12:00.1070019-07:00	2020-06-05T17:12:59.6071881-07:00	59500.188	1.0089548	74	0	60033	150.13	0	811.2568	2.0287838	0	0	476	1449	1.06	3.22
2020-06-05	2020-06-05T17:13:00.0000000	2020-06-05T17:13:00.4493405-07:00	2020-06-05T17:13:59.6036389-07:00	59154.297	1.0134683	70	0	59951	135.04997	0	856.4429	1.9292853	0	0	444	1426	1.07	3.44
2020-06-05	2020-06-05T17:14:00.0000000	2020-06-05T17:14:00.5048349-07:00	2020-06-05T17:14:59.2162662-07:00	58711.43	1.0146065	72	0	59569	145.46	0	827.3472	2.020278	0	0	439	1416	1.08	3.49
